Title,Rating,Summary
"
1.
One Piece
(2023– )
",8.5,"60 min
|

Action, Adventure, Comedy"
"
2.
You Are So Not Invited to My Bat Mitzvah
(2023)
",6,"In a seafaring world, a young pirate captain sets out with his crew to attain the title of Pirate King, and to discover the mythical treasure known as 'One Piece.'"
"
3.
Barbie
(I) (2023)
",7.3,"PG-13
|
103 min
|

Comedy"
"
4.
Suits
(2011–2019)
",8.4,"Stacy and Lydia are BFFs who've always dreamed about having epic Bat Mitzvahs. However, things start to go comically awry when a popular boy and middle school drama threatens their friendship and their rite of passage."
"
5.
Only Murders in the Building
(2021– )
",8.1,"UA
|
114 min
|

Adventure, Comedy, Fantasy"
"
6.
No Hard Feelings
(2023)
",6.4,Barbie suffers a crisis that leads her to question her world and her existence.
"
7.
One Piece: Wan pîsu
(1999– )
",8.9,"13+
|
44 min
|

Comedy, Drama"
"
8.
Red, White & Royal Blue
(2023)
",7,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers."
"
9.
Bottoms
(2023)
",7.6,"UA 16+
|
30 min
|

Comedy, Crime, Drama"
"
10.
Teenage Mutant Ninja Turtles: Mutant Mayhem
(2023)
",7.4,Three strangers - who live in the same New York City apartment building and share an obsession with true crime - suddenly find themselves embroiled in a murder.
"
11.
Dungeons & Dragons: Honor Among Thieves
(2023)
",7.3,"A
|
103 min
|

Comedy, Romance"
"
12.
Guardians of the Galaxy Vol. 3
(2023)
",8,"On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying."
"
13.
Succession
(2018–2023)
",8.9,"7
|
24 min
|

Animation, Action, Adventure"
"
14.
The Boys
(2019– )
",8.7,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece""."
"
15.
Saltburn
(2023)
",6.3,"R
|
118 min
|

Comedy, Romance"
"
16.
And Just Like That...
(2021– )
",5.7,"When the feud between the son of the American President and Britain's prince threatens to drive a wedge in U.S./British relations, the two are forced into a staged truce that sparks something deeper."
"
17.
What We Do in the Shadows
(2019– )
",8.6,"R
|
91 min
|

Comedy"
"
18.
Ted Lasso
(2020–2023)
",8.8,Two unpopular queer high school students start a fight club to have sex before graduation.
"
19.
Vacation Friends 2
(2023)
",5.3,"PG
|
99 min
|

Animation, Action, Adventure"
"
20.
Good Omens
(2019–2023)
",8,The film follows the Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.
"
21.
Shameless
(2011–2021)
",8.5,"UA
|
134 min
|

Action, Adventure, Comedy"
"
22.
The Office
(2005–2013)
",9,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
"
23.
Asteroid City
(2023)
",6.6,"UA
|
150 min
|

Action, Adventure, Comedy"
"
24.
Strays
(2023)
",6.3,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
"
25.
Sex and the City
(1998–2004)
",7.3,"15+
|
60 min
|

Comedy, Drama"
"
26.
The Super Mario Bros. Movie
(2023)
",7.1,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
"
27.
Elemental
(2023)
",7,"18+
|
60 min
|

Action, Comedy, Crime"
"
28.
The Big Short
(2015)
",7.8,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
"
29.
Futurama
(1999–2023)
",8.5,"127 min
|

Comedy, Drama, Thriller"
"
30.
Twisted Metal
(2023– )
",7.5,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten."
"
31.
Friends
(1994–2004)
",8.9,"A
|
40 min
|

Comedy, Drama, Romance"
"
32.
The Big Bang Theory
(2007–2019)
",8.2,"The series follows Carrie, Miranda, and Charlotte as they navigate the journey from the complicated reality of life and friendship in their 30s to the even more complicated reality of life and friendship in their 50s."
"
33.
It's Always Sunny in Philadelphia
(2005– )
",8.8,"15+
|
30 min
|

Comedy, Fantasy, Horror"
"
34.
Maseukeugeol
(2023– )
",7.4,A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.
"
35.
Guns & Gulaabs
(2023– )
",7.8,"A
|
30 min
|

Comedy, Drama, Sport"
"
36.
Young Sheldon
(2017– )
",7.6,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team."
"
37.
Reservation Dogs
(2021–2023)
",8.2,"R
|
106 min
|

Action, Adventure, Comedy"
"
38.
The Righteous Gemstones
(2019– )
",8.1,A couple who meets up with another couple while on vacation in Mexico sees their friendship take an awkward turn when they get back home.
"
39.
Jury Duty
(2023– )
",8.3,"UA 16+
|
55 min
|

Comedy, Fantasy"
"
40.
Sex Education
(2019–2023)
",8.3,"Now exiled from Heaven and Hell, Aziraphale and Crowley must team up once again after the mysterious arrival of a familiar face."
"
41.
The Afterparty
(2022– )
",7.3,"18+
|
46 min
|

Comedy, Drama"
"
42.
The White Lotus
(2021–2024)
",7.9,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
"
43.
Modern Family
(2009–2020)
",8.5,"U
|
22 min
|

Comedy"
"
44.
Babylon
(I) (2022)
",7.1,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium."
"
45.
A Man Called Otto
(2022)
",7.5,"PG-13
|
105 min
|

Comedy, Drama, Romance"
"
46.
Seinfeld
(1989–1998)
",8.9,"Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever."
"
47.
Vacation Friends
(2021)
",6.3,"R
|
93 min
|

Animation, Adventure, Comedy"
"
48.
Ugly Betty
(2006–2010)
",6.7,An abandoned dog teams up with other strays to get revenge on his former owner.
"
49.
Ballers
(2015–2019)
",7.6,"A
|
30 min
|

Comedy, Drama, Romance"
"
50.
Gilmore Girls
(2000–2007)
",8.2,Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.
